data4
8 AM
AAVI  ACADEMIA DE ARTES VISUALES
ABARROTES DELIRIO
ACHE PRODUCCIONES
"ACRA, NINO, MOJICA Y AGUILAR, S.C."
AEGIS MEDIA
AEROPUERTO TERMINAL 1 (SALON CENTURION AMERICAN EXPRESS)
AGENCIA CHURUBUSCO
AGENCIA WALTER THOMPSON
ALGARABIA
AMAFORE
AMBROSI & ETCHEGARAY
AMBULANTE A.C.
AMERICAN APPAREL
ANOTHER COMPANY (CUAUHTEMOC)
ANOTHER COMPANY (ROMA)
ANTEOJERIA DR YORK
ARENA MEDIA
ARQUINE
ARQUITECTURA 911SC
AT103
BANCA MIFEL
BANCOMEXT
BANG BURO
BAR FELIX
BAR OKUPA
BARBERIA CAPITAL
BARRA NACIONAL DE ABOGADOS
BARRACUDA DINER
BBDO
BELLMONDO
BELVEDERE
BIZCOM
BOBO PRODUCCIONES
BOLA DE ORO
BORDER
BUNKER ARQUITECTURA
BURO BURO
BURSON MARSTELLER
CADAVAL & SOLA MORALES
CAFE 123
CAFE CULTURAL GARKO
CAFE EL JAROCHO  CENTENARIO
CAFE EL JAROCHO  TAXQUEÑA
CAFE EL JAROCHO AV MEXICO
CAFE EL JAROCHO CUAUHTEMOC
CAFE EL JAROCHO MIGUEL ANGEL DE QUEVEDO  I
CAFE EMIR
CAFE EUROPA
CAFE INTERNET
CAFE LA GLORIA
CAFE PUNTA DEL CIELO (CALIFORNIA)
CAFE PUNTA DEL CIELO (MICHOACAN)
CAFE TACUBA
CAFE TOSCANO
CAFE TOSCANO PARQUE MEXICO
CAFETERIA EL PENDULO
CAFETERIA FAFKA
CAFETERIA FRUTOS PROHIBIDOS (TOLEDO)
CAFETERIA GAMO
CANAL 11 TV
CANAL 22
CARAT
CASA HAVANNA
CASA VIEJA MEZCALERIA
CASSETE
CENTRAL ONCEVEINTITRES
"CENTRO CULTURAL ""ALIAC"" "
CENTRO CULTURAL BELLA EPOCA
CENTRO CULTURAL BORDER
CENTRO CULTURAL ESPAÑA
CENTRO CULTURAL LOS TALLERES
CENTRO CULTURAL UNIVERSITARIO TLATELOLCO
CENTRO DE ARTE DRAMATICO
CENTRO DE ARTE MEXICANO PEDREGAL
CENTRO DE CAPACITACION CINEMATOGRAFICA (CCC)
CENTRO DE CREACION LITERARIA XAVIER VILLAURRUTIA
CENTRO DE CULTURA DIGITAL ESTELA DE LUZ
CENTRO DE ESTUDIOS EN CIENCIAS DE LA COMUNICACION (CECC)
CENTRO DE ESTUDIOS SUPERIORES DE SAN ANGEL (C.E.S.S.A)
CENTRO NACIONAL DE LAS ARTES (CENART)
CEPE UNAM
CERVECERIA CRISANTA
CHAI BAR (ESQ. AV. MEXICO)
CHIQUITO CAFE
CHOMP CHOMP
CINE TONALA
"CINEMANIA (PLAZA LORETO, CERCA DE LA ZONA DE COMIDA RAPIDA)"
CINEPOLIS (SANTA FE)
CINESPACIO24
CINETECA
CIRCO 2.12
CIRCUS POLANCO
CITRICO GRAFICO
CLAUSTRO SOR JUANA
COFFE BEANS ACOXPA
COFFE BEANS BOSQUES
COFFE BEANS CAPITAL
COFFE BEANS INSURGENTES
COFFE BEANS INTERLOMAS
